## Complete genomes: Viruses (taxid 10239) filtered by host 'bacteria'
"Genome"	"Accession"	"Source information"	"Number of segments"	"Genome length"	"Number of proteins"	"Genome Neighbors"	"Host"	"Date completed"	"Date updated"
Mycobacterium phage Kikipoo	NC_028907	strain:kikipoo	-	68839 nt	104	10	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Kimberlium	NC_028792	-	-	56826 nt	105	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Konstantine	NC_011292	-	-	68952 nt	95	-	bacteria	09/25/2008	09/25/2008	
Mycobacterium phage Kratio	NC_028947	-	-	62738 nt	99	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage LadyBird	NC_028744	-	-	53141 nt	96	-	bacteria	12/27/2015	12/07/2017	
Mycobacterium phage Lamina13	NC_024143	-	-	53255 nt	96	-	bacteria	05/27/2014	05/27/2014	
Mycobacterium phage Larenn	NC_028877	-	-	52967 nt	92	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage Leo	NC_021556	-	-	39981 nt	59	3	bacteria	06/24/2013	06/24/2013	
Mycobacterium phage Lilac	NC_023689	strain:Lilac	-	76260 nt	140	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium phage LinStu	NC_023714	strain:LinStu	-	153882 nt	227	5	bacteria	03/11/2014	03/11/2014	
Mycobacterium phage LittleCherry	NC_022086	-	-	50690 nt	87	-	bacteria	08/17/2013	12/07/2017	
Mycobacterium phage Llama	NC_028923	-	-	58472 nt	111	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Lolly9	NC_028843	-	-	75816 nt	130	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Loser	NC_031256	-	-	53486 nt	97	-	bacteria	09/27/2016	12/07/2017	
Mycobacterium phage Luchador	NC_028849	-	-	53387 nt	96	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage MOOREtheMARYer	NC_028791	-	-	44492 nt	67	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Makemake	NC_031067	-	-	52496 nt	93	-	bacteria	09/23/2016	09/23/2016	
Mycobacterium phage Malithi	NC_026605	-	-	46869 nt	79	-	bacteria	03/04/2015	11/08/2017	
Mycobacterium phage Manad	NC_024363	-	-	68807 nt	101	-	bacteria	06/24/2014	06/24/2014	
Mycobacterium phage MarQuardt	NC_028798	-	-	50882 nt	90	6	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage MiaZeal	NC_028953	-	-	110764 nt	250	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage MichelleMyBell	NC_023572	-	-	42240 nt	70	-	bacteria	03/04/2014	03/04/2014	
Mycobacterium phage Milly	NC_026598	-	-	58211 nt	94	-	bacteria	03/04/2015	03/04/2015	
Mycobacterium phage Mindy	NC_029093	-	-	75796 nt	147	-	bacteria	02/05/2016	02/05/2016	
Mycobacterium phage Minerva	NC_026584	-	-	109871 nt	238	-	bacteria	03/04/2015	03/04/2015	
Mycobacterium phage MoMoMixon	NC_023733	strain:MoMoMixon	-	154573 nt	230	5	bacteria	03/11/2014	03/11/2014	
Mycobacterium phage MosMoris	NC_024138	-	-	65243 nt	111	1	bacteria	05/27/2014	05/27/2014	
Mycobacterium phage Muddy	NC_022054	-	-	48228 nt	71	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage Mufasa	NC_028759	-	-	58065 nt	94	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Mulciber	NC_031257	-	-	52428 nt	98	-	bacteria	09/27/2016	12/07/2017	
Mycobacterium phage Murphy	NC_021305	-	-	76179 nt	146	-	bacteria	05/31/2013	07/15/2013	
Mycobacterium phage Murucutumbu	NC_028978	-	-	60609 nt	95	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Myrna	NC_011273	-	-	164602 nt	229	-	bacteria	09/17/2008	09/02/2011	
Mycobacterium phage Nala	NC_022976	-	-	75894 nt	147	-	bacteria	12/04/2013	05/17/2017	
Mycobacterium phage Nappy	NC_023725	strain:Nappy	-	156646 nt	234	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium phage NelitzaMV	NC_028785	-	-	72790 nt	139	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Nerujay	NC_028928	-	-	53455 nt	97	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Newman	NC_021310	-	-	68598 nt	97	5	bacteria	05/31/2013	07/15/2013	
Mycobacterium phage Nhonho	NC_028815	-	-	51355 nt	88	-	bacteria	01/05/2016	06/21/2016	
Mycobacterium phage Nigel	NC_011044	-	-	69904 nt	94	-	bacteria	07/11/2008	07/16/2008	
Mycobacterium phage Nyxis	NC_023565	-	-	51250 nt	87	-	bacteria	03/04/2014	12/07/2017	
Mycobacterium phage OSmaximus	NC_028803	strain:OSmaximus	-	69118 nt	102	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Oaker	NC_023578	-	-	69099 nt	92	-	bacteria	03/04/2014	03/04/2014	
Mycobacterium phage Obama12	NC_023577	-	-	51797 nt	89	1	bacteria	03/04/2014	12/07/2017	
Mycobacterium phage OkiRoe	NC_024366	-	-	62661 nt	96	-	bacteria	06/24/2014	06/24/2014	
Mycobacterium phage Oline	NC_023711	strain:Oline	-	68720 nt	101	1	bacteria	03/11/2014	07/01/2015	
Mycobacterium phage Omnicron	NC_028832	-	-	61511 nt	95	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Orion	NC_008197	-	-	68427 nt	100	10	bacteria	06/21/2006	12/19/2007	
Mycobacterium phage Ovechkin	NC_028937	-	-	58338 nt	106	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage PBI1	NC_008198	-	-	64494 nt	81	2	bacteria	06/22/2006	04/17/2009	
Mycobacterium phage PLot	NC_008200	-	-	64787 nt	89	-	bacteria	06/22/2006	04/17/2009	
Mycobacterium phage Panchino	NC_031281	-	-	43516 nt	66	-	bacteria	09/27/2016	09/27/2016	
Mycobacterium phage Papez	NC_031041	-	-	52501 nt	94	-	bacteria	09/23/2016	09/23/2016	
Mycobacterium phage Papyrus	NC_022053	-	-	70657 nt	100	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage Pari	NC_028874	-	-	50614 nt	91	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Patience	NC_023691	strain:Patience	-	70506 nt	110	1	bacteria	03/11/2014	12/18/2017	
Mycobacterium phage PattyP	NC_021297	-	-	52057 nt	92	-	bacteria	05/31/2013	07/15/2013	
Mycobacterium phage PegLeg	NC_021299	-	-	80955 nt	138	1	bacteria	05/31/2013	05/17/2017	
Mycobacterium phage Pepe	NC_028680	-	-	50515 nt	86	-	bacteria	12/17/2015	12/17/2015	
Mycobacterium phage Phaedrus	NC_011057	-	-	68090 nt	98	-	bacteria	07/17/2008	07/23/2008	
Mycobacterium phage Phantastic	NC_024148	-	-	50101 nt	91	-	bacteria	05/27/2014	12/07/2017	
Mycobacterium phage PhatBacter	NC_022969	-	-	76217 nt	148	-	bacteria	12/04/2013	05/17/2017	
Mycobacterium phage Phatniss	NC_028844	-	-	57293 nt	101	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Phaux	NC_021311	-	-	76479 nt	145	-	bacteria	05/31/2013	07/15/2013	
Mycobacterium phage Phayonce	NC_028796	-	-	49203 nt	77	-	bacteria	01/05/2016	11/08/2017	
Mycobacterium phage Phelemich	NC_022063	-	-	70115 nt	95	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage Phipps	NC_028942	strain:Phipps	-	68293 nt	99	15	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Phlei	NC_028662	-	-	50418 nt	81	-	bacteria	12/17/2015	12/07/2017	
Mycobacterium phage Phlyer	NC_012027	-	-	69378 nt	103	-	bacteria	02/03/2009	02/03/2009	
Mycobacterium phage Phrann	NC_031266	-	-	44872 nt	67	-	bacteria	09/27/2016	09/27/2016	
Mycobacterium phage PhrostyMug	NC_022329	-	-	53636 nt	97	1	bacteria	09/12/2013	10/07/2016	
Mycobacterium phage Phrux	NC_021309	-	-	74711 nt	141	-	bacteria	05/31/2013	07/15/2013	
Mycobacterium phage Pinto	NC_024368	-	-	50610 nt	87	-	bacteria	06/24/2014	06/24/2014	
Mycobacterium phage Pioneer	NC_028965	-	-	53219 nt	99	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage Pipefish	NC_008199	-	-	69059 nt	102	-	bacteria	06/22/2006	12/19/2007	
Mycobacterium phage Piro94	NC_028794	-	-	52647 nt	94	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage Pleione	NC_023737	strain:Pleione	-	155586 nt	238	5	bacteria	03/11/2014	03/11/2014	
Mycobacterium phage PopTart	NC_028961	-	-	55094 nt	95	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Pops	NC_028681	-	-	68367 nt	99	5	bacteria	12/17/2015	06/21/2016	
Mycobacterium phage Predator	NC_011039	-	-	70110 nt	92	-	bacteria	07/11/2008	07/13/2008	
Mycobacterium phage Quico	NC_028751	-	-	58671 nt	112	1	bacteria	01/05/2016	06/21/2016	
Mycobacterium phage Quink	NC_022330	-	-	76586 nt	151	-	bacteria	09/12/2013	01/13/2016	
Mycobacterium phage Qyrzula	NC_008204	-	-	67188 nt	81	2	bacteria	06/22/2006	12/19/2007	
Mycobacterium phage RedRock	NC_025444	-	-	53332 nt	95	-	bacteria	11/10/2014	12/07/2017	
Mycobacterium phage Redi	NC_023730	strain:Redi	-	42594 nt	69	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium phage Redno2	NC_022066	-	-	108297 nt	231	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage RhynO	NC_023609	-	-	46739 nt	73	-	bacteria	03/04/2014	12/07/2017	
Mycobacterium phage RidgeCB	NC_023710	strain:RidgeCB	-	50844 nt	94	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium phage Rizal	NC_011272	-	-	153894 nt	220	5	bacteria	09/17/2008	09/17/2008	
Mycobacterium phage Rosebush	NC_004684	-	-	67480 nt	90	2	bacteria	04/05/2003	05/06/2009	
Mycobacterium phage Rufus	NC_028810	-	-	52357 nt	93	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage SWU1	NC_017973	-	-	52474 nt	94	-	bacteria	05/29/2012	08/27/2012	
Mycobacterium phage Saal	NC_023580	-	-	57775 nt	101	-	bacteria	03/04/2014	03/04/2014	
Mycobacterium phage SarFire	NC_022324	-	-	53701 nt	99	-	bacteria	09/12/2013	09/12/2013	
Mycobacterium phage Sbash	NC_026589	-	-	55832 nt	89	-	bacteria	03/04/2015	03/04/2015	
Mycobacterium phage ScottMcG	NC_011269	-	-	154017 nt	221	5	bacteria	09/17/2008	09/17/2008	
Mycobacterium phage Seabiscuit	NC_024136	-	-	51781 nt	94	-	bacteria	05/27/2014	05/27/2014	
Mycobacterium phage Seagreen	NC_028813	-	-	57766 nt	105	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Serenity	NC_028932	-	-	52088 nt	97	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage Severus	NC_021307	-	-	49894 nt	80	-	bacteria	05/31/2013	12/07/2017	
Mycobacterium phage ShedlockHolmes	NC_028846	-	-	61081 nt	100	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Sheen	NC_028914	-	-	52927 nt	84	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage ShiVal	NC_028674	-	-	68355 nt	101	5	bacteria	12/17/2015	12/17/2015	
Mycobacterium phage Shipwreck	NC_031261	-	-	48670 nt	81	-	bacteria	09/27/2016	11/08/2017	
Mycobacterium phage SiSi	NC_021301	-	-	56279 nt	99	-	bacteria	05/31/2013	07/15/2013	
Mycobacterium phage SkiPole	NC_023748	-	-	53137 nt	102	-	bacteria	04/10/2014	04/10/2014	
Mycobacterium phage Smeadley	NC_028860	-	-	52392 nt	100	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage Sneeze	NC_031102	-	-	42429 nt	64	-	bacteria	09/23/2016	09/23/2016	
Mycobacterium phage Snenia	NC_028778	-	-	75626 nt	130	1	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Solon	NC_011267	-	-	49487 nt	86	-	bacteria	09/17/2008	09/17/2008	
Mycobacterium phage Soto	NC_025438	-	-	67744 nt	98	15	bacteria	11/10/2014	11/10/2014	
Mycobacterium phage Sparkdehlily	NC_028654	-	-	56275 nt	111	-	bacteria	12/17/2015	12/17/2015	
Mycobacterium phage Sparky	NC_026597	-	-	63334 nt	91	-	bacteria	03/04/2015	10/07/2015	
Mycobacterium phage Spud	NC_011270	-	-	154906 nt	222	5	bacteria	09/17/2008	09/17/2008	
Mycobacterium phage Squirty	NC_026588	-	-	60285 nt	102	-	bacteria	03/04/2015	03/04/2015	
Mycobacterium phage Stinger	NC_023741	strain:Stinger	-	69641 nt	95	-	bacteria	04/10/2014	04/10/2014	
Mycobacterium phage Suffolk	NC_023563	-	-	68262 nt	97	5	bacteria	03/04/2014	03/04/2014	
Mycobacterium phage SweetiePie	NC_029043	-	-	53183 nt	95	-	bacteria	01/14/2016	12/07/2017	
Mycobacterium phage Swirley	NC_028912	-	-	49717 nt	87	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage Swish	NC_028658	-	-	68735 nt	103	15	bacteria	12/17/2015	07/12/2016	
Mycobacterium phage TM4	NC_003387	-	-	52797 nt	89	-	bacteria	03/04/1999	10/09/2008	
Mycobacterium phage Taj	NC_025433	-	-	58550 nt	110	-	bacteria	11/10/2014	11/10/2014	
Mycobacterium phage Tasp14	NC_028784	-	-	51409 nt	89	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Theia	NC_028960	-	-	50999 nt	87	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage TheloniousMonk	NC_028828	-	-	52055 nt	90	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Thibault	NC_023738	strain:Thibault	-	106327 nt	216	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium phage Tiffany	NC_028757	-	-	50768 nt	89	1	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage Tonenili	NC_031080	-	-	160985 nt	258	-	bacteria	09/23/2016	09/23/2016	
Mycobacterium phage Toto	NC_028906	strain:Toto	-	75933 nt	140	1	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Trike	NC_026591	-	-	44716 nt	65	-	bacteria	03/04/2015	12/07/2017	
Mycobacterium phage Trixie	NC_023731	strain:Trixie	-	53526 nt	92	-	bacteria	03/11/2014	12/07/2017	
Mycobacterium phage Troll4	NC_011285	-	-	64618 nt	84	-	bacteria	09/25/2008	03/26/2010	
Mycobacterium phage Trouble	NC_022062	-	-	52102 nt	94	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage Turbido	NC_023707	strain:Turbido	-	53169 nt	94	-	bacteria	03/11/2014	12/07/2017	
Mycobacterium phage Turj99	NC_028941	-	-	51161 nt	86	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Tweety	NC_009820	-	-	58692 nt	109	-	bacteria	09/18/2007	10/22/2016	
Mycobacterium phage U2	NC_009877	-	-	51277 nt	81	-	bacteria	10/02/2007	10/02/2007	
Mycobacterium phage UncleHowie	NC_027985	-	-	68016 nt	98	15	bacteria	10/07/2015	10/07/2015	
Mycobacterium phage UnionJack	NC_028802	-	-	49158 nt	86	-	bacteria	01/05/2016	02/05/2016	
Mycobacterium phage Validus	NC_023498	-	-	62466 nt	105	-	bacteria	02/27/2014	02/27/2014	
Mycobacterium phage Velveteen	NC_022060	-	-	54314 nt	100	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage Vincenzo	NC_028934	-	-	72139 nt	98	1	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Violet	NC_023695	strain:Violet	-	52481 nt	90	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium phage Vista	NC_023727	strain:Vista	-	68494 nt	101	15	bacteria	03/11/2014	07/01/2015	
Mycobacterium phage VohminGhazi	NC_029077	-	-	52155 nt	100	2	bacteria	02/05/2016	12/07/2017	
Mycobacterium phage Vortex	NC_028801	strain:Vortex	-	68346 nt	99	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage WIVsmall	NC_021334	-	-	53359 nt	83	-	bacteria	06/03/2013	07/15/2013	
Mycobacterium phage Wanda	NC_022067	-	-	109960 nt	240	-	bacteria	08/14/2013	07/09/2014	
Mycobacterium phage Wee	NC_014901	strain:Wee	-	59230 nt	108	-	bacteria	01/13/2011	04/30/2012	
Mycobacterium phage Wheeler	NC_022070	-	-	53588 nt	96	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage Whirlwind	NC_022052	-	-	76050 nt	128	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage Wildcat	NC_008206	-	-	78296 nt	148	-	bacteria	06/22/2006	10/19/2015	
Mycobacterium phage Wile	NC_023709	strain:Wile	-	51308 nt	85	-	bacteria	03/11/2014	12/07/2017	
Mycobacterium phage XFactor	NC_028910	-	-	55617 nt	95	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Xeno	NC_031243	-	-	42395 nt	69	-	bacteria	09/27/2016	09/27/2016	
Mycobacterium phage Zaka	NC_022985	-	-	52122 nt	101	1	bacteria	12/04/2013	12/07/2017	
Mycobacterium phage ZoeJ	NC_024147	-	-	57315 nt	92	-	bacteria	05/27/2014	05/27/2014	
Mycobacterium phage vB_MapS_FF47	NC_021063	-	-	47724 nt	73	-	bacteria	04/16/2013	11/05/2014	
Mycobacterium virus 244	NC_008194	-	-	74483 nt	142	-	bacteria	06/20/2006	04/17/2009	
Mycobacterium virus Acadian	NC_023701	strain:Acadian	-	69864 nt	97	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Alma	NC_023716	strain:Alma	-	53177 nt	96	1	bacteria	03/11/2014	12/07/2017	
Mycobacterium virus Angelica	NC_014458	strain:Angelica	-	59598 nt	94	-	bacteria	08/20/2010	08/11/2011	
Mycobacterium virus Ardmore	NC_013936	-	-	52141 nt	87	-	bacteria	03/16/2010	03/16/2010	
Mycobacterium virus Avani	NC_023698	-	-	54470 nt	107	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Babsiella	NC_023697	strain:Babsiella	-	48420 nt	78	-	bacteria	03/11/2014	01/17/2017	
Mycobacterium virus Bethlehem	NC_009878	-	-	52250 nt	87	-	bacteria	10/02/2007	04/17/2009	
Mycobacterium virus BillKnuckles	NC_023739	strain:BillKnuckles	-	51821 nt	86	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Boomer	NC_011054	-	-	58037 nt	105	-	bacteria	07/17/2008	07/17/2008	
Mycobacterium virus Bron	NC_014461	strain:LeBron	-	73453 nt	123	-	bacteria	08/20/2010	09/25/2017	
Mycobacterium virus Brujita	NC_011291	-	-	47057 nt	74	1	bacteria	09/25/2008	09/25/2008	
Mycobacterium virus Bruns	NC_023687	strain:Bruns	-	53003 nt	96	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Bxb1	NC_002656	-	-	50550 nt	86	-	bacteria	01/28/2001	02/10/2015	
Mycobacterium virus Bxz2	NC_004682	-	-	50913 nt	86	2	bacteria	04/05/2003	10/09/2008	
Mycobacterium virus Che12	NC_008203	-	-	52047 nt	98	-	bacteria	06/21/2006	12/19/2007	
Mycobacterium virus Che8	NC_004680	-	-	59471 nt	112	-	bacteria	04/05/2003	05/06/2009	
Mycobacterium virus Che9c	NC_004683	-	-	57050 nt	84	-	bacteria	04/05/2003	12/19/2007	
Mycobacterium virus Che9d	NC_004686	-	-	56276 nt	111	-	bacteria	04/05/2003	05/06/2009	
Mycobacterium virus Cjw1	NC_004681	-	-	75931 nt	141	-	bacteria	04/05/2003	04/17/2009	
Mycobacterium virus Corndog	NC_004685	-	-	69777 nt	122	-	bacteria	04/05/2003	05/06/2009	
Mycobacterium virus Courthouse	NC_023690	strain:Courthouse	-	110569 nt	241	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus CrimD	NC_014459	strain:CrimD	-	59798 nt	95	-	bacteria	08/20/2010	08/11/2011	
Mycobacterium virus D29	NC_001900	-	-	49136 nt	79	-	bacteria	06/02/1998	02/10/2015	
Mycobacterium virus DeadP	NC_023728	strain:DeadP	-	56461 nt	106	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Doom	NC_023704	strain:Doom	-	51421 nt	85	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Drago	NC_023721	strain:Drago	-	54411 nt	103	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Euphoria	NC_023726	strain:Euphoria	-	53597 nt	94	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Faith1	NC_015584	strain:Faith1	-	75960 nt	129	3	bacteria	06/29/2011	02/03/2012	
Mycobacterium virus Fionnbarth	NC_027365	strain:Fionnbharth	-	58076 nt	94	-	bacteria	06/24/2015	09/25/2017	
Mycobacterium virus Firecracker	NC_023712	strain:Firecracker	-	71341 nt	128	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Fruitloop	NC_011288	-	-	58471 nt	102	-	bacteria	09/25/2008	03/26/2010	
Mycobacterium virus GUmbie	NC_023746	strain:GUmbie	-	57387 nt	104	-	bacteria	04/10/2014	04/10/2014	
Mycobacterium virus Halo	NC_008202	-	-	42289 nt	64	-	bacteria	06/21/2006	10/05/2017	
Mycobacterium virus Jasper	NC_011020	strain:Jasper	-	50968 nt	94	-	bacteria	06/25/2008	07/20/2012	
Mycobacterium virus KBG	NC_011019	strain:KBG	-	53572 nt	89	-	bacteria	06/25/2008	07/20/2012	
Mycobacterium virus Kostya	NC_011056	-	-	75811 nt	143	-	bacteria	07/17/2008	04/17/2009	
Mycobacterium virus Kugel	NC_023702	strain:Kugel	-	52379 nt	95	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus L5	NC_001335	-	-	52297 nt	90	-	bacteria	02/23/1993	01/24/2014	
Mycobacterium virus Larva	NC_023724	strain:Larva	-	62991 nt	97	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Liefie	NC_023705	strain:Liefie	-	41650 nt	61	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Llij	NC_008196	-	-	56852 nt	100	-	bacteria	06/21/2006	04/17/2009	
Mycobacterium virus Lockley	NC_011021	strain:Lockley	-	51478 nt	90	-	bacteria	06/25/2008	04/17/2009	
Mycobacterium virus Omega	NC_004688	-	-	110865 nt	237	-	bacteria	04/05/2003	04/17/2009	
Mycobacterium virus PMC	NC_008205	-	-	56692 nt	104	-	bacteria	06/22/2006	04/17/2009	
Mycobacterium virus Pacc40	NC_011287	-	-	58554 nt	101	-	bacteria	09/25/2008	03/26/2010	
Mycobacterium virus Peaches	NC_013694	-	-	51376 nt	86	11	bacteria	12/30/2009	12/07/2017	
Mycobacterium virus Perseus	NC_023720	strain:Perseus	-	53142 nt	92	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus Porky	NC_011055	-	-	76312 nt	147	-	bacteria	07/17/2008	04/17/2009	
Mycobacterium virus Pukovnik	NC_011023	strain:Pukovnik	-	52892 nt	88	-	bacteria	06/25/2008	12/07/2017	
Mycobacterium virus Ramsey	NC_011289	-	-	58578 nt	108	-	bacteria	09/25/2008	03/26/2010	
Mycobacterium virus Rumpelstiltskin	NC_023732	strain:Rumpelstiltskin	-	69279 nt	110	-	bacteria	03/11/2014	03/11/2014	
Mycobacterium virus SG4	NC_023699	strain:SG4	-	59016 nt	105	-	bacteria	03/11/2014	03/11/2014	
Mycoplasma phage MAV1	NC_001942	-	-	15644 nt	15	-	bacteria	09/02/1998	02/10/2015	
Mycoplasma phage phiMFV1	NC_005964	-	-	18855 nt	17	2	bacteria	07/08/2004	10/05/2017	
Mycoplasma virus P1	NC_002515	-	-	11660 nt	11	-	bacteria	08/22/2000	05/06/2009	
Myxococcus phage Mx8	NC_003085	-	-	49534 nt	86	-	bacteria	08/23/2001	02/10/2015	
Nitrincola phage 1M3-16	NC_024217	-	-	82438 nt	144	-	bacteria	06/02/2014	06/02/2014	
Nocardia phage NBR1	NC_016569	-	-	46140 nt	68	-	bacteria	01/13/2012	01/13/2012	
Nonlabens phage P12024L	NC_018272	-	-	35652 nt	58	-	bacteria	08/06/2012	08/06/2012	
Nonlabens phage P12024S	NC_018271	-	-	35700 nt	59	-	bacteria	08/06/2012	08/06/2012	
Oenococcus phage phi9805	NC_023559	-	-	46145 nt	55	-	bacteria	03/02/2014	03/02/2014	
Oenococcus phage phiS11	NC_023571	-	-	46243 nt	59	-	bacteria	03/02/2014	03/02/2014	
Oenococcus phage phiS13	NC_023560	-	-	43454 nt	54	-	bacteria	03/02/2014	03/02/2014	
Paenibacillus phage Diva	NC_028788	-	-	37246 nt	60	-	bacteria	01/05/2016	01/05/2016	
Paenibacillus phage Fern	NC_028851	-	-	37995 nt	68	1	bacteria	01/05/2016	03/09/2016	
Paenibacillus phage HB10c2	NC_028758	-	-	35644 nt	56	-	bacteria	01/05/2016	01/05/2016	
Paenibacillus phage Harrison	NC_028746	-	-	44249 nt	84	1	bacteria	01/05/2016	03/11/2016	
Paenibacillus phage PG1	NC_021558	strain:PG1	-	37644 nt	67	-	bacteria	06/21/2013	07/07/2013	
Paenibacillus phage Rani	NC_029084	-	-	37990 nt	61	-	bacteria	02/05/2016	02/06/2016	
Paenibacillus phage Sitara	NC_028854	-	-	43724 nt	74	-	bacteria	01/05/2016	01/05/2016	
Paenibacillus phage Tripp	NC_028930	-	-	54439 nt	92	-	bacteria	01/05/2016	01/05/2016	
Paenibacillus phage Vegas	NC_028767	-	-	45653 nt	86	3	bacteria	01/05/2016	03/09/2016	
Paenibacillus phage Xenia	NC_028837	-	-	41149 nt	77	-	bacteria	01/05/2016	03/09/2016	
Paenibacillus phage phiIBB_Pl23	NC_021865	-	-	41294 nt	68	-	bacteria	07/23/2013	09/24/2013	
Pantoea phage LIMElight	NC_019454	-	-	44546 nt	55	-	bacteria	10/01/2010	11/16/2012	
Pantoea phage LIMEzero	NC_015585	-	-	43032 nt	57	-	bacteria	05/12/2011	06/29/2011	
Parabacteroides phage YZ-2015a	NC_029012	-	-	4623 nt	6	-	bacteria	01/05/2016	01/05/2016	
Parabacteroides phage YZ-2015b	NC_029014	-	-	5001 nt	4	-	bacteria	01/05/2016	01/05/2016	
Paracoccus phage vB_PmaS_IMEP1	NC_026608	-	-	42093 nt	52	-	bacteria	03/04/2015	03/04/2015	
Pasteurella virus F108	NC_008193	-	-	30505 nt	44	-	bacteria	06/20/2006	04/17/2009	
Pectobacterium bacteriophage PM2	NC_028940	-	-	170286 nt	291	-	bacteria	01/05/2016	01/05/2016	
Pectobacterium phage My1	NC_018837	-	-	122024 nt	149	-	bacteria	10/15/2012	11/01/2012	
Pectobacterium phage PM1	NC_023865	-	-	55098 nt	63	-	bacteria	04/01/2014	09/23/2014	
Pectobacterium phage PP1	NC_019542	-	-	44400 nt	48	-	bacteria	11/21/2012	11/21/2012	
Pectobacterium phage PP16	NC_031068	-	-	43902 nt	56	-	bacteria	09/23/2016	09/23/2016	
Pectobacterium phage PP90	NC_031096	-	-	44570 nt	56	-	bacteria	09/23/2016	09/23/2016	
Pectobacterium phage Peat1	NC_029081	-	-	45633 nt	61	-	bacteria	02/05/2016	02/06/2016	
Pectobacterium phage ZF40	NC_019522	-	-	48454 nt	68	-	bacteria	11/21/2012	11/21/2012	
Pectobacterium phage phiTE	NC_020201	-	-	142349 nt	242	-	bacteria	02/05/2013	03/31/2016	
Pediococcus virus cIP1	NC_016161	-	-	38013 nt	57	-	bacteria	11/10/2011	08/02/2012	
